Cabeçalho da Nota,,,,,,,,,,,,,,
Emissão:16/04/2026 08:37:29,Total de registros:207,Usuário: 1004 - PEDRO.NUNES,,,,,,,,,,,,
Liberação,Nome Parceiro (Parceiro),Pendente,Nro. Único,Nro. Nota,Nome Fantasia (Empresa),Vlr. Nota,Dt. Neg.,Previsão de entrega,Observação,Observação,NF-e,Tipo Operação,Dt. do Faturamento,Descrição (Tipo de Operação)
Aprovado,BRETAS BROKER,Sim,23722877,2624,J.M EMBALAGENS E BRINDES LTDA,"789,92",01/04/2026,01/04/2026 00:00,"SEGURO INTERNACIONAL PROCESSO
OC 1849 TINTAS HP",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,01/04/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,DHL EXPRESS BRAZIL LTDA,Sim,23708206,2614,J.M EMBALAGENS E BRINDES LTDA,"499,19",31/03/2026,31/03/2026 00:00,BOLETO PARA LIBERAÇÃO ALFENDEGARIA  AWB No: 1190283382,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,31/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23684778,2601,J.M EMBALAGENS E BRINDES LTDA,"1.621,00",30/03/2026,30/03/2026 00:00,HONORARIO NF 113 REF OC1450,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,30/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23684842,2602,J.M EMBALAGENS E BRINDES LTDA,"374,42",30/03/2026,30/03/2026 00:00,SEGURO INTERNACIONAL REF OC1450,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,30/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TORA RECINTOS ALFANDEGADOS S/A,Não,23657182,2597,J.M EMBALAGENS E BRINDES LTDA,"7.347,07",26/03/2026,26/03/2026 00:00,ARMAZENAGEM IMPORTAÇÃO DESPESA ADUANEIRA OC 2035,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,26/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,E G A ASSESSORIA EM COMERCIO EXTERIOR LTDA,Não,23643105,2593,J.M EMBALAGENS E BRINDES LTDA,"2.857,96",25/03/2026,25/03/2026 00:00,ARMAZENAGEM OC 2035 | NILS TROEDSSON x JM EMB,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,25/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AZ LOGISTICA E NEGOCIOS INTERNACIONAIS LTDA,Sim,23638275,2595,J.M EMBALAGENS E BRINDES LTDA,"1.579,53",25/03/2026,25/03/2026 00:00,"JM BB-056/26 OC1849 DTA HUB I ZHONGSHAN WISEPRINT l 00002 0126SS  LCL l SHENZHEN X SANTOS

CTE 3492",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,25/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,SIGNMATE SOLUTIONS,Sim,23637114,2591,J.M EMBALAGENS E BRINDES LTDA,"43,20",25/03/2026,20/05/2026 00:00,"OPERAÇÃO A SER DEBITADA NO CARTÃO DE CREDITO


ESPATULA DE ENCAIXE PERFIL DE SILICONE",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5105,25/03/2026 00:00,PEDIDO COMPRA USO CONSUMO PRODUÇAO J.M
Aprovado,FOSHAN DECHANG TECHNOLOGY CO,Sim,23615082,2579,J.M EMBALAGENS E BRINDES LTDA,"103,60",24/03/2026,28/07/2026 00:00,PEDIDO DE REPOSIÇÃO DE PEÇAS USADAS NA  MAQUINA DE CORTE PNEUMATICO,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5105,24/03/2026 00:00,PEDIDO COMPRA USO CONSUMO PRODUÇAO J.M
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Sim,23604075,2574,J.M EMBALAGENS E BRINDES LTDA,"12.400,00",23/03/2026,23/03/2026 00:00,FRETE REFERENTE  CT-E 1/26635 OC 2035 SANTOS X BETIM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Sim,23604198,2573,J.M EMBALAGENS E BRINDES LTDA,"12.400,00",23/03/2026,23/03/2026 00:00,FRETE REFERENTE  CT-E 1/26636 OC 2035 SANTOS X BETIM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,"SHANDONG XINST LASER EQUIPAMENT CO., LTD",Sim,23602619,2578,J.M EMBALAGENS E BRINDES LTDA,"3.890,00",23/03/2026,13/07/2026 00:00,MAQUINA GRAVADORA LASER 180W,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5104,23/03/2026 00:00,PEDIDO COMPRA  IMOBILIZADO J.M
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Não,23604240,2572,J.M EMBALAGENS E BRINDES LTDA,"3.650,00",23/03/2026,23/03/2026 00:00,FRETE REFERENTE  MINUTA 1/496 I NFS-e 2181 I OC 2035 SANTOS X BETIM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,TRANS FL-TRANSPORTES E LOGISTICA DE CARGAS LTDA,Não,23604294,2571,J.M EMBALAGENS E BRINDES LTDA,"3.230,00",23/03/2026,23/03/2026 00:00,FRETE REFERENTE I MINUTA 1/497 I NFS-e 2180 I OC 2035 SANTOS X BETIM,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,FOSHAN DECHANG TECHNOLOGY CO,Sim,23602449,2576,J.M EMBALAGENS E BRINDES LTDA,"357,00",23/03/2026,20/05/2026 00:00,"COMPRA DE DESTACADOR PNEUMATICO 

Invoice No: DCH2026032301",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5104,23/03/2026 00:00,PEDIDO COMPRA  IMOBILIZADO J.M
Aprovado,"SHENZHEN PURCELL HAINA TECHNOLOGY CO., LTD",Sim,23517871,2538,J.M EMBALAGENS E BRINDES LTDA,"570,00",17/03/2026,20/04/2026 00:00,PEDIDO DE REPOSIÇÃO DE PEÇAS USADAS PARA MAQUINA DE PLOTTER DE RECORTE,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5105,17/03/2026 00:00,PEDIDO COMPRA USO CONSUMO PRODUÇAO J.M
Aprovado,CAMARA CHINESA DE COMERCIO DO BRASIL - CCB,Não,23464440,37067,ZAP GRAFICA ONLINE LTDA,"1.291,10",11/03/2026,11/03/2026 00:00,BOLETO EM ANEXO I VISITA E VERIFICAÇÃO DE MAQUINA,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,11/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23448685,2497,J.M EMBALAGENS E BRINDES LTDA,"1.518,00",10/03/2026,10/03/2026 00:00,HONORARIO NF 89 REF OC 1557 OC1442 OC1316 OC1318,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,10/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BRETAS BROKER,Não,23448716,2496,J.M EMBALAGENS E BRINDES LTDA,"1.463,14",10/03/2026,10/03/2026 00:00,SEGURO INTERNACIONAL PROCESSO REF OC 1557 OC1442 OC1316 OC1318,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,10/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,BOFENG GROUP HOLDINGS HK LIMITED,Sim,23416292,36980,ZAP GRAFICA ONLINE LTDA,"42.616,18",06/03/2026,01/06/2026 00:00,S1BR2600092ZGEE I ZAP069,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2005,06/03/2026 00:00,PEDIDO COMPRA MP IMPORTADA
Aprovado,ECOPORTO SANTOS S.A.,Não,23404470,2502,J.M EMBALAGENS E BRINDES LTDA,"4.283,40",05/03/2026,05/03/2026 00:00,ARMAZENAGEM PROCESSO OC 2035,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,05/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,AMA TRANSPORTES LTDA,Sim,23401192,2518,J.M EMBALAGENS E BRINDES LTDA,"1.276,15",05/03/2026,05/03/2026 00:00,REMOÇAO DTA OC 1849 TINTAS HP,<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,05/03/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,HARDTECH - SUPPORT INFORMATICA LTDA - EPP,Não,23358992,2461,J.M EMBALAGENS E BRINDES LTDA,"1.350,00",02/03/2026,11/03/2026 00:00,"COMPRA DE PEÇAS PARA A MAQUINA LEF 20 

DADOS DE PAGAMENTO:

HARDTECH INFORMÁTICA   

Dados bancários:
•	Banco Itaú
•	Agência 4319
•	C/C 12596-1
•	Hardtech Support Informática Ltda
•	PIX: CNPJ: 02.128.153/0001-44

Av. Transbrasiliana, 812, Qd. 13, Lt. 08, St. Serrinha – Goiânia – GO 
CEP 74.835-190

*https://goo.gl/maps/mK6upoRm4fN1V5PU9**HARDTECH INFORMÁTICA*",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),5105,02/03/2026 00:00,PEDIDO COMPRA USO CONSUMO PRODUÇAO J.M
Aprovado,CHIGETO INDUSTRIA E COMERCIO DE BOTTONS LTDA,Não,23345204,6381,J.M EMBALAGENS E BRINDES LTDA,"13.622,10",27/02/2026,10/03/2026 00:00,"REF. ORÇAMENTO Nº 53619 l EMISSÃO 26/02/2026.  PAGAMENTO À VISTA

PIX: 00.003.028/0001-82",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2004,27/02/2026 00:00,PEDIDO COMPRA IMOBILIZADO
Sem pendência,HARDTECH - SUPPORT INFORMATICA LTDA - EPP,Não,23344198,1362,ZAPEX LOGISTICA LTDA,"10.780,00",27/02/2026,27/02/2026 00:00,"REPOSICAO FEITA APÓS ERRO LOGISTICO PELO PARCEIRO ZAPEX 

DADOS DE PAGAMENTO:

HARDTECH INFORMÁTICA   

Dados bancários:
•	Banco Itaú
•	Agência 4319
•	C/C 12596-1
•	Hardtech Support Informática Ltda
•	PIX: CNPJ: 02.128.153/0001-44

Av. Transbrasiliana, 812, Qd. 13, Lt. 08, St. Serrinha – Goiânia – GO 
CEP 74.835-190

*https://goo.gl/maps/mK6upoRm4fN1V5PU9**HARDTECH INFORMÁTICA*",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2001,27/02/2026 00:00,PEDIDO COMPRA CONSUMO
Sem pendência,CHIGETO INDUSTRIA E COMERCIO DE BOTTONS LTDA,Não,23345977,6379,J.M EMBALAGENS E BRINDES LTDA,"3.658,50",27/02/2026,30/04/2026 00:00,"REF. ORÇAMENTO Nº 53619 l EMISSÃO 26/02/2026.  PAGAMENTO À VISTA

PIX: 00.003.028/0001-82",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2001,27/02/2026 00:00,PEDIDO COMPRA CONSUMO
Aprovado,WENZHOU WEIGANG INTERNATIONAL TRADE CO LTD,Sim,23332846,2441,J.M EMBALAGENS E BRINDES LTDA,"24.300,00",26/02/2026,30/06/2026 00:00,"PEDIDO DE MAQUINAS WQM 420G E DK 45

Numero Invoice: WGT0601
Data Emissao: 26/01/2026
Moeda: USD
Condicao Pagamento: T/T
30% antecipado antes da producao
70% antes do embarque
Incoterm: FOB Ningbo


Banco: Industrial and Commercial Bank of China

Agencia: Zhejiang Provincial Branch

Endereco: No.68-70 Xinhe Middle Road, Aojiang Town, Pingyang County, 
Zhejiang CN 325401

Swift: ICBKCNBJZJP

Beneficiario: Wenzhou Weigang International Trade Co.,Ltd.

Conta: 1203283019200439737",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2004,26/02/2026 17:09,PEDIDO COMPRA IMOBILIZADO
Aprovado,GREAT MAGTECH XIAMEN ELETRIC CO LTD,Sim,23125323,2428,J.M EMBALAGENS E BRINDES LTDA,"186,71",25/02/2026,01/05/2026 00:00,"INVOICE Number: 26JS00602
Pagamento antecipado

The Sellers: Great Magtech (Xiamen) Electric Co., Ltd. 


Beneficiário: Great Magtech (Xiamen) Electric Co., Ltd.

Endereço da Empresa: 5F, No.601 Hengtian Rd, Jimei District, Xiamen, China (361024)

Banco: CHINA CONSTRUCTION BANK XIAMEN BRANCH

Endereço do Banco: NO. 5-16 XINGLIN EAST ROAD, JIMEI, XIAMEN, CHINA

Código Swift: PCBCCNBJSMX

Número da Conta: 35114536000220103278",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2005,05/02/2026 00:00,PEDIDO COMPRA MP IMPORTADA
Aprovado,SKYSEA SHIPPING LTDA,Não,23286507,2412,J.M EMBALAGENS E BRINDES LTDA,"1.216,91",23/02/2026,23/02/2026 00:00,"FRETE INTERNACIONAL
ref OC: 1849

SKYSEA SHIPPING LTDA
Rua Campos Mello 157 - Vila Mathias
Santos - SP - CEP: 11015-504
CNPJ: 51.161.889/0001-20
Telefone: +551333010154
Site: www.skyseashipping.com",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/02/2026 00:00,PEDIDO COMPRA SERVICO
Aprovado,SKYSEA SHIPPING LTDA,Não,23286543,2414,J.M EMBALAGENS E BRINDES LTDA,"483,66",23/02/2026,23/02/2026 00:00,"EXW CHARGES
ref OC: 1849

SKYSEA SHIPPING LTDA
Rua Campos Mello 157 - Vila Mathias
Santos - SP - CEP: 11015-504
CNPJ: 51.161.889/0001-20
Telefone: +551333010154
Site: www.skyseashipping.com",<SEM OBSERVACAO>,Convencional (Não Usa NF-e),2003,23/02/2026 00:00,PEDIDO COMPRA SERVICO
